Count,Username,Text,Created At,Retweets,Likes
1,RTR,"He becomes the 47th president of the United States of America, Donald Trump. Before the elections we had a meeting in Marella with Romanians living in the USA. What do you think about the election?  

#elections #one #trump",Wed Nov 06 17:35:53 +0000 2024,0,0
2,Mohammad Asad,"All the king's horses &amp; all the king's men could not stop  from winning
#election #vote #politics #trump #news #elections #usa #congress #maga #republican  #donaldtrump  #electionday #america #democracy  #president #voting #government #conservative #republicans",Wed Nov 06 17:28:04 +0000 2024,0,1
3,Dhanraj Padghane,"Modi ji on call with best friend Doland Trump after winning elections 🙂
#DonaldTrump2024 #DonaldTrump #DonaldTrumpPresident #USAElection2024 #USA #Trump2024 #Trump2024Vance #Modi #America #ElonMusk2024",Wed Nov 06 17:06:37 +0000 2024,0,1
4,Dharmenda963,#Trump Victory In America President Elections History shows that Never Ever A Lady BEING President in USA. THIS FACTOR CAN CHOOSE DONALD TRUMP FURTHER PRESIDENT IN USA.,Wed Nov 06 15:31:55 +0000 2024,0,0
5,Dan mendez,"Congratulations on your victory. In many countries we were following the elections in America closely, and we hope that with Donald Trump the more peaceful era will return to the USA, which will benefit all countries.",Wed Nov 06 14:47:40 +0000 2024,0,1
6,Anand Shreekar,"USA 🇺🇸: Elections 2024
It is victory of the common man &amp; woman, the blue collar workers, the truckers, the small business owners; black &amp; white &amp; brown, men &amp; women, rich &amp; poor and the billionaire Mr Donald Trump who listened to the heart beats of America 🇺🇸, sacrificed",Wed Nov 06 14:47:03 +0000 2024,1,0
7,78 Crickets,"Donald Trump has won the Elections by some margin. President of USA once again 🇺🇸🔥

#electionday2024 #USAElection2024 #USElections2024 #USA2024 #America #ElonMusk #Trump2024 #Trump2024Vance",Wed Nov 06 14:13:46 +0000 2024,1,1
8,YallaMexico,"6/11/24:#November New Start
#netanyahu Calling #Trump Is Certifying #Elections Results.
Now,The Test:If #DonaldTrump Has A Spine &amp; #Sovereignty,He Will Be Able To Stop #MiddleEast #War
If netanyahu Is In Control Of #USA As He Is With  He Will America To #RegionalWar",Wed Nov 06 14:04:43 +0000 2024,0,0
9,Donald News HD,Donald Trump was elected 47th president of the United States. let's make America great again speech #donaldtrump #trump2024 #elections #democrat #republican #president #usa🇺🇸 #trump,Wed Nov 06 14:00:51 +0000 2024,0,0
10,JENNATI Baraka America,JENNATI message Congratulations president USA NEW Donald Trump JENNATI message Thank Kamala Harris JENNATI message Thank everyone people USA On Elections On president USA NEW in USA NEW,Wed Nov 06 13:55:11 +0000 2024,1,0
11,Vinaykumar Pandey,"Congratulations Mr Donald Trump for winning the US election and returning as the 47th president of the United States of America. Hope India and USA can work on strengthening our relations under your leadership.
#Us elections #donaltrump #PMO #USA2024",Wed Nov 06 13:50:23 +0000 2024,0,1
12,Katiso Mokone,Congratulations to Donald trump for winning USA elections. MAKE AMERICA GREAT AGAIN.,Wed Nov 06 12:24:14 +0000 2024,0,0
13,Siki,Trump won Balije!!! #trump2024 #donaldtrump #elections #balije #bosna #bosnia #USA #America #UnitedStates #bosnaihercegovina #bosniaandherzegovina #Republicans #worldpeace #savegaza #savepalestine #palestine #russia #ukraine #slaughter #killing,Wed Nov 06 12:06:03 +0000 2024,0,1
14,Siki,Trump won the election!!! #trump2024 #donaldtrump #elections #balije #bosna #bosnia #USA #America #UnitedStates #bosnaihercegovina #bosniaandherzegovina #Republicans #worldpeace #savegaza #savepalestine #palestine #russia #ukraine #slaughter #killing,Wed Nov 06 12:05:08 +0000 2024,0,1
15,Siki,Trump has Won!!! #trump2024 #donaldtrump #elections #balije #bosna #bosnia #USA #America #UnitedStates #bosnaihercegovina #bosniaandherzegovina #Republicans #worldpeace #savegaza #savepalestine #palestine #russia #ukraine,Wed Nov 06 12:03:01 +0000 2024,0,1
16,"Sanjeeb Kumar Sahoo, Journalist By Birth.","Final Results for #USA 🇺🇸 Presidential Elections 2024:

 It was a close race between Donald Trump and #KamalaHarris, but in democracy, voters are gods. USA #voters elected #DonaldTrump as the 47th President of the United States of America (#USA) 🇺🇸.  

On the other side, voters",Wed Nov 06 11:35:46 +0000 2024,3,4
17,"Sanjeeb Kumar Sahoo, Journalist By Birth.","Final Results for #USA 🇺🇸 Presidential Elections 2024:

It was a close race between Donald Trump and #KamalaHarris, but in democracy, voters are gods. USA #voters elected #DonaldTrump as the 47th President of the United States of America (#USA) 🇺🇸.

On the other side, voters are",Wed Nov 06 11:30:36 +0000 2024,2,3
18,ALL IN ONE TRENDZ,2024 Election Unfolded: Inside the Battle for the White House  #vote #politics #trump #news #elections #usa #biden #congress #maga #republican #india #donaldtrump #democrat #democrats #electionday #america #JoeBiden #PresidentialElection2024,Wed Nov 06 11:27:33 +0000 2024,0,0
19,Elvis Njeru,"Congratulations Donald Trump for winning the USA elections.

The Forty-Seventh, make America great again!

#MAGA",Wed Nov 06 11:22:04 +0000 2024,0,0
20,ShyWhiteFlash,"With great concern I took a look at the elections in the USA, and sadly reality has it that a convicted criminal became a president again.
America first is all fine and stuff but every single thing carried by Donald Trump will just turn out to be even worse for the small folks…",Wed Nov 06 11:11:39 +0000 2024,0,0
