Count,Username,Text,Created At,Retweets,Likes
1,Abrar Sabbah,"Presidential Election Results Map:Trump Wins 2024 Elections 
“I want to stop wars” Trump Says
 Trump:”Ben başkan iken Orta Doğu’da savaş yoktu” dedi.NTV 
@elonmusk @realDonaldTrump 

#donaldtrump #usa #Trump #unitedstates #america #elections #president #vote #america #president https://t.co/ESRD5wrPvV",Wed Nov 06 19:38:36 +0000 2024,0,0
2,Cory Legendre,"🏳️ #KamalaHarris has called #DonaldTrump and has discussed a peaceful transfer of power in January. May we all find the things we share in common and put aside our differences, hate and division.

#America #Election2024 #ElectionDay #ElectionNight #elections #USA #Trump https://t.co/tgNJxa82pU",Wed Nov 06 19:29:49 +0000 2024,0,0
3,M.G.,"6/11/24:#November New Start
#netanyahu Calling #Trump Is Certifying #Elections Results.
Now,The Test:If #DonaldTrump Has A Spine &amp; #Sovereignty,He Will Be Able To Stop #MiddleEast #War
If netanyahu Is In Control Of #USA As He Is With @JoeBiden,Then He Will America To #RegionalWar",Wed Nov 06 18:59:25 +0000 2024,0,0
4,RTR,"El daventa il 47avel president dals Stadis Unids da l‘America, Donald Trump. Avant las elecziuns avain nus fatg ina Marella cun rumantschas e rumantschs che vivan en l‘USA. Tge pensan els da l‘elecziun?  

#elections #usa #trump  https://t.co/gcjhB0T9Tl",Wed Nov 06 17:35:53 +0000 2024,0,0
5,Mohammad Asad,"All the king's horses &amp; all the king's men could not stop @realDonaldTrump from winning
#election #vote #politics #trump #news #elections #usa #congress #maga #republican  #donaldtrump  #electionday #america #democracy  #president #voting #government #conservative #republicans",Wed Nov 06 17:28:04 +0000 2024,0,2
6,Dhanraj Padghane,"@narendramodi @realDonaldTrump Modi ji on call with best friend Doland Trump after winning elections 🙂
#DonaldTrump2024 #DonaldTrump #DonaldTrumpPresident #USAElection2024 #USA #Trump2024 #Trump2024Vance #Modi #America #ElonMusk2024 https://t.co/cySS6UkBvS",Wed Nov 06 17:06:37 +0000 2024,0,1
7,Dharmenda963,#Trump Victory In America President Elections History shows that Never Ever A Lady BEING President in USA. THIS FACTOR CAN CHOOSE DONALD TRUMP FURTHER PRESIDENT IN USA.,Wed Nov 06 15:31:55 +0000 2024,0,0
8,Dan mendez,"@BoyyyWillii @DavidCornDC Congratulations on your victory. In many countries we were following the elections in America closely, and we hope that with Donald Trump the more peaceful era will return to the USA, which will benefit all countries.",Wed Nov 06 14:47:40 +0000 2024,0,1
9,Anand Shreekar,"USA 🇺🇸: Elections 2024
It is victory of the common man &amp; woman, the blue collar workers, the truckers, the small business owners; black &amp; white &amp; brown, men &amp; women, rich &amp; poor and the billionaire Mr Donald Trump who listened to the heart beats of America 🇺🇸, sacrificed https://t.co/G9bBCckoUB",Wed Nov 06 14:47:03 +0000 2024,1,0
10,78 Crickets,"Donald Trump has won the Elections by some margin. President of USA once again 🇺🇸🔥

#electionday2024 #USAElection2024 #USElections2024 #USA2024 #America #ElonMusk #Trump2024 #Trump2024Vance https://t.co/sfjeH1ljJ4",Wed Nov 06 14:13:46 +0000 2024,1,1
